"_id",groupId
bc5e4ae0-0d14-4e05-ab6c-692c36a8f52f,462102
53375151-67dd-4b5d-8c17-e9a890552c0d,374124
9104fe29-ab33-4204-a114-b071a59a47ed,506627
c985c880-4529-400c-ba8a-064407e11c5d,529184
48ed96fe-4e1e-4d35-b24f-4ba11f806b91,464500
00b25d72-e0da-496d-8118-426dc28c9f9f,660143
dfc0ad8f-f8e7-46f1-8965-839acc193344,476897
1f78cc11-350a-4da5-b610-ac20c3dbf763,671660
9856c683-f6a7-4a06-8967-564d6a00cdd8,636766
847f292a-6cc2-4966-bbd4-d05cbfaa7729,671696
ea6ab7e9-dc46-4009-9719-48e726552fa3,643631
1781e574-de68-419a-91e2-f016527dcce3,674878
cb203a6d-6d59-4118-bd6b-8d5a8dd7f55c,674868
6ddbaec8-58ff-418f-be74-c09510f4c451,674937
e7f887f7-9838-4eef-aeac-93d5f1a5e064,712327
bba71747-2119-4925-88c9-337585802c0b,791888
1cc04375-819f-4271-85d8-066a00b1bce2,526839
4dc3dac6-811b-461d-bbee-8229c8615d97,643652
4686d7bc-f9b4-451a-8ac0-3bb80079332f,650401
24d2d598-7795-49da-b360-21c606f9ab08,671733
66744f3d-649f-45b0-b933-91bf0e157504,671793
b0962d4c-7009-4793-bbae-f4e70c154f75,674075
e7430270-2c6e-4259-99bc-37638d510497,674773
298d3997-1a33-4197-ae2c-c78fd4e2e527,674866
f61e1ccc-c1ad-4e86-bf5e-5ac69af0a604,703905
6277c820-261c-402c-94ee-b366adf04b27,712303
05203319-438e-4f04-a60b-4d1d9e10aaa1,763713
f08dd8a5-6a2a-4761-ba80-02864be5207c,779567
edecf078-0fb0-4491-b3cc-5db558406b28,786049
751eac64-3c37-4443-b29d-16e6280b37ef,828173
35845345-fe30-4b71-9060-f58f79c92164,570370
c51ac590-0bb5-4bea-9835-52405df6d742,668823
1f2d9e7b-c6f8-48df-b15f-008b1273d05e,712292
bceb1af1-a085-4402-8055-25399c503756,725196
45e8eb0c-b2c8-4b14-a7fb-bd2ed151d4e5,828348
62cdea61-782a-4a82-82df-128da5031c00,416430
7935d463-07bd-4db3-9638-e3f0b5a038ee,428255
e7540e32-e24f-428b-9044-f6ae5c92867e,500569
8f490b3c-86e8-43b9-8fee-83bbf6ea8371,524322
028e46df-0478-4750-a39a-95796c21c928,529208
14244e72-cc66-47fe-bf4d-4672e821cc7f,622081
df351acf-368d-42f7-9667-1e7974be7466,673043
bb624bbd-fbf6-4b32-92eb-ee323f2c1d9c,712280
b6f77f38-c305-4d5f-a871-174d8473edbc,786056
c05ee86b-02c1-4bf8-ad49-de5c298941b3,392053
5670d36a-4f06-4764-aa5f-3570ab485688,407620
bdac85d9-aef4-4413-965d-bc55e249d3b1,392219
a31c67ac-4114-4f18-beb7-b3dba7eef744,392209
69154423-dd27-4512-b187-9cd465b957c8,505209
c68df980-5d8b-4a84-b7cb-9bec177a38b9,509814
17893e98-5680-4ac9-aee9-a59356c94d43,673049
e45f3a67-55c2-4c8d-ad0f-ef5e6a8e6e14,699668
14734461-41a5-4bbb-946d-6ec005a87956,729615
b1b591c6-2ac3-4d59-90c5-6a7089479f5d,754472
30bcd7eb-4eaa-4896-8e1d-bf2fd6e69742,812829
3a6e87d5-d70b-4124-ad00-9e3b1b0127ac,813642
974f6f27-7838-4d58-9a71-958773b0b32b,393525
45c71939-342e-44d3-bad8-4e36ac884c11,484362
14cb0508-788e-4dd6-b43e-a2e17ff50241,565788
2dda52b3-a66b-45c8-8721-a42116e62783,665105
467eef59-3031-4a70-a173-a5b642eb862a,667830
14549aa1-e87e-43d3-ac42-8280732b2ed2,712254
1605b0f5-cf5e-4062-8687-ea26e1864173,509938
8f9b1f6d-8205-4e48-aad3-870a299bab2c,525762
5dc8aa42-85ca-4d4d-90b0-baf19f43f296,637627
455b677f-67cd-44f7-bf78-2b68e7c1fa71,648729
29709ac7-3c58-4837-be98-18226915c503,671689
63bf2442-4244-41bc-9ca1-db3adb72b00d,712318
0e9ca632-7e97-4258-84a9-b76309354179,807237
4852976b-80e5-4b29-b808-a235e9be7935,526677
552764ad-f468-403a-ba25-bfe9ddfe8ffe,641178
e3758e21-0c05-4fa1-b8de-cf09d2c0eb2d,671677
7c251cec-367c-47d4-9cd7-5be02accb201,671759
9ffdcafc-6caa-4b1c-a196-faa9a1b1179e,671789
1e3f794d-3f59-4f67-8a21-d660e7e5c2f4,674860
714ab4dc-4d39-45b5-a43d-0b47cac9eef6,690851
5b89489a-1cca-440a-bd0d-52378beb5de3,798281
ba6fe9bb-619f-4fb2-9fb9-a7e900aac4cf,392217
c2d73d0e-0fe9-4d17-975f-efd45e414d44,519849
96db1824-c0bc-43ae-a9d2-9292ceea0442,523294
d16ef7b1-b885-491c-9a54-b967aafa9b8a,523698
bfb2eb07-ee49-4b4d-93d8-75cac40ecc4e,535919
7c595629-ba58-4669-a508-0fcc80b7d4f1,587845
046a75cd-758a-4b5f-a123-7343a495734a,592139
55c85c46-b0f9-4427-a9c6-b9bec6be9f99,609533
edf566ac-e08f-49d4-ba6c-6f8cd9de2c63,636865
7ac0bc09-1f3b-443c-aa6d-3d742141ba48,675150
6ef3347d-048d-4162-b8ae-01135772f116,678569
48af5e3a-6a3f-4536-b0be-28cc3ac5340a,712295
c11d6dd3-bf3b-466e-ad0d-11dce6906d8b,712311
c34199e2-8d94-4bed-9a87-a144c78bcbc3,729720
5048852a-86b2-4c1b-882d-07ab735c1e4f,805019
b4fd179a-08aa-41d9-8fe5-8e6e1b3160f3,426584
0a02aec1-f188-4a36-9b28-5faa9ddc10b3,392216
e7824bfd-2c69-460c-a902-3195e6f7fa79,579480
4073c150-79de-4298-b03f-cba678ccf4de,642760
6637989b-bbf7-4893-9822-16ca640169dc,703923
6d07847c-d2df-46ca-b1ab-5bbb2fdfa200,712262
95e4288f-632e-4606-b1ca-18c4e0361429,791767
7a294eb7-6359-45c4-917a-e31870fed597,796953
79ef36f7-e0d9-4c6b-9f02-3cf9679ece43,818379
52d6e67e-f9c3-46e6-9854-d31a27de48a0,494953
ecb10c5a-263f-4627-bd2a-fd0d8f1df0e4,523636
35cb6f65-b10f-4d60-a281-62215b7a777b,525856
6dc3dfd8-9a96-4e7b-b66f-44c62e1ad618,526844
1c543a2a-570f-421a-a7ad-430592e63411,555672
a600e9ae-5a8f-444b-84cd-d0f59d24f49c,587830
